reporterid,measureid,numerator,denominator,iso_week,iso_year,month,quarter,year,issuppressed,notes
21009,anx_score,3.6293114026387534,1,1-01,1-2020,,,,,
21009,anx_score,2.476771900287041,1,1-02,1-2020,,,,,
21009,anx_score,2.7506909211476644,1,1-03,1-2020,,,,,
21009,anx_score,2.678370709220568,1,1-04,1-2020,,,,,
21009,anx_score,3.1045639585046207,1,1-05,1-2020,,,,,
21009,anx_score,3.030801636832101,1,1-06,1-2020,,,,,
21009,anx_score,2.672113979856173,1,1-07,1-2020,,,,,
21009,anx_score,2.688429798398699,1,1-08,1-2020,,,,,
21009,anx_score,2.56832398420998,1,1-09,1-2020,,,,,
21009,anx_score,2.126568071047465,1,1-10,1-2020,,,,,
21009,anx_score,2.055841267108917,1,1-11,1-2020,,,,,
21009,anx_score,3.126091241836548,1,1-12,1-2020,,,,,
21009,anx_score,2.8592615574598312,1,1-13,1-2020,,,,,
21009,anx_score,2.918923767407735,1,1-14,1-2020,,,,,
21009,anx_score,3.168073347636632,1,1-15,1-2020,,,,,
21009,anx_score,2.733963957199684,1,1-16,1-2020,,,,,
21009,anx_score,2.537883880237738,1,1-17,1-2020,,,,,
21009,anx_score,2.661827027797699,1,1-18,1-2020,,,,,
21009,anx_score,2.827834151007913,1,1-19,1-2020,,,,,
21009,anx_score,3.181026738882065,1,1-20,1-2020,,,,,
21009,anx_score,3.19458760534014,1,1-21,1-2020,,,,,
21009,anx_score,3.3148857487572565,1,1-22,1-2020,,,,,
21009,anx_score,2.8650172406976875,1,1-23,1-2020,,,,,
21009,anx_score,2.858743572235108,1,1-24,1-2020,,,,,
21009,anx_score,3.009511860934171,1,1-25,1-2020,,,,,
21009,anx_score,2.5689198672771454,1,1-26,1-2020,,,,,
21009,anx_score,2.399691545046293,1,1-27,1-2020,,,,,
21009,anx_score,2.411250401288271,1,1-28,1-2020,,,,,
21009,anx_score,2.7043195764223733,1,1-29,1-2020,,,,,
21009,anx_score,2.715289149965559,1,1-30,1-2020,,,,,
21009,anx_score,2.919210059302194,1,1-31,1-2020,,,,,
21009,anx_score,2.760248223940532,1,1-32,1-2020,,,,,
21009,anx_score,2.691506195068359,1,1-33,1-2020,,,,,
21009,anx_score,2.931185273023752,1,1-34,1-2020,,,,,
21009,anx_score,2.622004646521348,1,1-35,1-2020,,,,,
21009,anx_score,2.8492794036865234,1,1-36,1-2020,,,,,
21009,anx_score,2.488549223312965,1,1-37,1-2020,,,,,
21009,anx_score,2.8366359812872752,1,1-38,1-2020,,,,,
21009,anx_score,2.435385692119598,1,1-39,1-2020,,,,,
21009,anx_score,2.740444461504618,1,1-40,1-2020,,,,,
21009,anx_score,2.614213310755216,1,1-41,1-2020,,,,,
21009,anx_score,2.842459789911906,1,1-42,1-2020,,,,,
21009,anx_score,3.034647132669176,1,1-43,1-2020,,,,,
21009,anx_score,2.8053534030914307,1,1-44,1-2020,,,,,
21009,anx_score,2.6968292951583863,1,1-45,1-2020,,,,,
21009,anx_score,3.260540856255425,1,1-46,1-2020,,,,,
21009,anx_score,3.1807471752166747,1,1-47,1-2020,,,,,
21009,anx_score,3.01715616385142,1,1-48,1-2020,,,,,
21009,anx_score,2.6750810037959707,1,1-49,1-2020,,,,,
21009,anx_score,2.896037010046152,1,1-50,1-2020,,,,,
21009,anx_score,2.9951295419172808,1,1-51,1-2020,,,,,
21009,anx_score,3.2518275499343874,1,1-52,1-2020,,,,,
21009,anx_score,2.8038779894510903,1,1-53,1-2020,,,,,
21015,anx_score,2.528282634417216,1,1-01,1-2020,,,,,
21015,anx_score,2.520458358898759,1,1-02,1-2020,,,,,
